year,scenario,value
2052,Temporary without Tariff Revenue,140.0640083208739
2053,Temporary without Tariff Revenue,147.39917632538226
2054,Temporary without Tariff Revenue,155.11157573241334
2055,Temporary without Tariff Revenue,163.19852927009296
2025,Permanent with Tariff Revenue,30.127336773338
2026,Permanent with Tariff Revenue,32.13405674883622
2027,Permanent with Tariff Revenue,34.186829126079985
2028,Permanent with Tariff Revenue,36.33866541191187
2029,Permanent with Tariff Revenue,38.729319648008136
2030,Permanent with Tariff Revenue,41.19901577450327
2031,Permanent with Tariff Revenue,43.75935085387031
2032,Permanent with Tariff Revenue,46.473996657769334
2033,Permanent with Tariff Revenue,49.30880601730927
2034,Permanent with Tariff Revenue,52.2666528328151
2035,Permanent with Tariff Revenue,55.35910817680645
2036,Permanent with Tariff Revenue,58.602379914219746
2037,Permanent with Tariff Revenue,61.967135309469356
2038,Permanent with Tariff Revenue,65.4884263267858
2039,Permanent with Tariff Revenue,69.16371732643502
2040,Permanent with Tariff Revenue,72.98111706985313
2041,Permanent with Tariff Revenue,76.97153397486746
2042,Permanent with Tariff Revenue,81.19189508041697
2043,Permanent with Tariff Revenue,85.60522213612958
2044,Permanent with Tariff Revenue,90.24494720929194
2045,Permanent with Tariff Revenue,95.11433346266934
2046,Permanent with Tariff Revenue,100.22468574170199
2047,Permanent with Tariff Revenue,105.59587600646505
2048,Permanent with Tariff Revenue,111.23043625578448
2049,Permanent with Tariff Revenue,117.15703801910804
2050,Permanent with Tariff Revenue,123.3643372253995
2051,Permanent with Tariff Revenue,129.8957139012467
2052,Permanent with Tariff Revenue,136.7792897669806
2053,Permanent with Tariff Revenue,143.96265620443754
2054,Permanent with Tariff Revenue,151.52016193988607
2055,Permanent with Tariff Revenue,159.42404438878967
2025,Permanent without Tariff Revenue,30.273336773338
2026,Permanent without Tariff Revenue,32.525956508836224
2027,Permanent without Tariff Revenue,34.824943745987184
2028,Permanent without Tariff Revenue,37.24087155996026
2029,Permanent without Tariff Revenue,39.913130077422664
2030,Permanent without Tariff Revenue,42.683650226389005
2031,Permanent without Tariff Revenue,45.56591252396577
2032,Permanent without Tariff Revenue,48.62468487607174
2033,Permanent without Tariff Revenue,51.827263121585496
2034,Permanent without Tariff Revenue,55.176875131129435
2035,Permanent without Tariff Revenue,58.686011171191154
2036,Permanent without Tariff Revenue,62.36668545707291
2037,Permanent without Tariff Revenue,66.18897713242409
2038,Permanent without Tariff Revenue,70.18965015547418
2039,Permanent without Tariff Revenue,74.36574057656524
2040,Permanent without Tariff Revenue,78.70634396327048
2041,Permanent without Tariff Revenue,83.24454840484965
2042,Permanent without Tariff Revenue,88.03753879251923
2043,Permanent without Tariff Revenue,93.04922848219708
2044,Permanent without Tariff Revenue,98.31388574121597
2045,Permanent without Tariff Revenue,103.83676827448583
2046,Permanent without Tariff Revenue,109.62951147630034
2047,Permanent without Tariff Revenue,115.71430045410467
2048,Permanent without Tariff Revenue,122.09380858836094
2049,Permanent without Tariff Revenue,128.7978399533173
2050,Permanent without Tariff Revenue,135.81755725329833
2051,Permanent without Tariff Revenue,143.1969933009538
2052,Permanent without Tariff Revenue,150.96674054492706
2053,Permanent without Tariff Revenue,159.074395194639
2054,Permanent without Tariff Revenue,167.5963637597713
2055,Permanent without Tariff Revenue,176.50525919290047
